"","date","City","ntrips","per_subscriber","per_male","median_age","weekends","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"50",2017-01-17,"Chicago",4704,0.986181972789116,0.795280612244898,35,0,9.62,0.48,0,0,37,39,35
"51",2017-01-17,"NY",18646,0.989541992920734,0.775984125281562,38,0,4.92,0.35,0,0,NA,42,38
"52",2017-01-18,"Boston",379,0.989445910290237,0.802110817941952,31,0,13.87,0.36,0,NA,38,40,32
"53",2017-01-18,"Chicago",5337,0.986884017238149,0.803447629754544,35,0,9.62,0,0,0,35,36,30
"54",2017-01-18,"NY",30857,0.985708267167904,0.769128560780374,38,0,5.82,0.06,0,0,NA,41,38
"55",2017-01-19,"Boston",798,0.957393483709273,0.741854636591479,32,0,8.05,0,0,NA,37,46,31
"56",2017-01-19,"Chicago",4424,0.979430379746835,0.801537070524412,36,0,6.71,0.46,0,0,36,42,30
"57",2017-01-19,"NY",36561,0.971527037006646,0.756872076803151,38,0,3.58,0,0,0,NA,49,39
"58",2017-01-20,"Boston",717,0.95258019525802,0.740585774058577,31,0,5.37,0,0,NA,38,40,34
"59",2017-01-20,"Chicago",4573,0.973102995845178,0.790946862016182,35,0,5.82,0.18,0,0,39,43,38
"60",2017-01-20,"NY",26752,0.980636961722488,0.767905203349282,38,0,4.03,0.1,0,0,NA,45,40
"61",2017-01-21,"Boston",726,0.786501377410468,0.611570247933884,29,1,7.16,0,0,NA,43,55,37
"62",2017-01-21,"Chicago",7697,0.715863323372743,0.49408860595037,31,1,8.5,0,0,0,48,59,40
"63",2017-01-21,"NY",26610,0.911461856444945,0.674520856820744,35,1,3.8,0,0,0,NA,49,41
"64",2017-01-22,"Boston",401,0.910224438902743,0.723192019950125,29,1,10.96,0.06,0,NA,44,48,39
"65",2017-01-22,"Chicago",3167,0.815282601831386,0.599305336280392,32,1,5.37,0.01,0,0,43,46,38
"66",2017-01-22,"NY",20523,0.9235491887151,0.687716220825415,35,1,6.71,0.05,0,0,NA,48,43
"67",2017-01-23,"Boston",532,0.979323308270677,0.802631578947368,31,0,25.28,0.31,0,NA,38,40,35
"68",2017-01-23,"Chicago",5788,0.965272978576365,0.761748445058742,35,0,9.4,0,0,0,39,42,36
"69",2017-01-23,"NY",15822,0.986158513462268,0.783971684995576,39,0,18.34,1.16,0,0,NA,44,36
"70",2017-01-24,"Boston",363,0.994490358126722,0.818181818181818,30,0,24.38,1.09,0,NA,39,42,35
"71",2017-01-24,"Chicago",5762,0.980215203054495,0.78948281846581,35,0,7.16,0,0,0,37,38,34
"72",2017-01-24,"NY",13171,0.993394578999317,0.793257915116544,37,0,10.07,1.18,0,0,NA,38,35
"73",2017-01-25,"Boston",773,0.988357050452781,0.759379042690815,31,0,15.66,0.02,0,NA,38,44,36
"74",2017-01-25,"Chicago",5080,0.989763779527559,0.806102362204724,35,0,11.41,0.09,0,0,37,42,34
"75",2017-01-25,"NY",36931,0.975873927053153,0.754813029704043,38,0,6.71,0,0,0,NA,51,36
"76",2017-01-26,"Boston",820,0.974390243902439,0.758536585365854,32,0,13.42,0.05,0,NA,42,51,37
"77",2017-01-26,"Chicago",4731,0.985626717395899,0.797928556330585,35,0,13.42,0,0,0,33,34,30
"78",2017-01-26,"NY",33002,0.978728561905339,0.760135749348524,38,0,6.71,0.02,0,0,NA,56,43
"79",2017-01-27,"Boston",837,0.967741935483871,0.732377538829152,32,0,17.67,0,0,NA,41,44,36
