School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
East High School,55804,,9,Public,87.5,12.5,16.8,48.3,64.2,55.5,93.6,"1,506",65,16.4,78.7,3.6,82.3
East Ridge High School,55129,,9,Public,72.5,27.5,11.3,69.5,81,80.1,95.2,"1,809",85,22.6,77.4,0,77.4
Eastview Senior High,55124,,9,Public,67.8,32.2,15.2,71.8,81.9,75.2,95.7,"2,223",101,14.9,82.9,0,82.9
Eden Prairie Senior High,55346,,9,Public,65.1,34.9,18.6,58.7,69,68.1,90.1,"2,925",170,23.1,75.7,0,75.7
Edison Senior High,55418,,9,Public,16.7,83.3,79.5,27.9,28.1,20.2,57.4,876,67,64,27.1,3,30.1
Elk River Senior High,55330,,9,Public,89,11,14,64.6,67.6,69.3,91.2,"1,614",78,34.9,65.1,0,65.1
Eveleth-Gilbert Senior High,55734,,9,Public,96.2,3.8,28.8,37,50.8,52.4,93.3,300,18,51.4,47.6,0,47.6
FAIR Senior High,55403,,9,Public,32.1,67.9,54.4,16.7,51.6,40.7,93.8,303,19,72.4,27.6,0,27.6
Faribault Area Learning Center,55021,,9,Alternative ,50,50,63.8,3.6,18.2,8.1,23.4,125,6,64.1,35.9,0,35.9
Faribault Senior High,55021,,9,Public,57.3,42.7,49.6,44.1,42,48.5,85.1,"1,227",66,49.5,47.5,0,47.5
Farmington High School,55024,,9,Public,82.5,17.5,14.8,31.8,53.7,48.5,93.1,"1,933",88,31,58.2,2.3,60.5
Fergus Falls Area Learning Center,56537,,9,Alternative ,81.8,18.2,68.2,0,22.2,11.1,26.7,74,7,62.8,37.2,0,37.2
Foley Senior High,56329,,9,Public,95.3,4.7,29.1,45.1,56.8,49.7,94,611,29,42.3,57.7,0,57.7
G.F.W. High School,55396,,9,Public,77.1,22.9,33.5,29,50.7,58.9,81.7,251,19,60.4,39.6,0,39.6
Glencoe-Silver Lake Senior High,55336,,9,Public,86,14,21.6,36.8,66,66.7,96.6,509,30,41.7,58.3,0,58.3
Grand Meadow Senior High,55936,,9,Public,90.4,9.6,25,33.3,58.8,47.2,92.9,124,10,96.8,3.2,0,3.2
Grand Rapids Senior High,55744,,9,Public,85.8,14.2,28.7,50.8,56.1,59.9,95.3,"1,160",56,45.3,54,0.7,54.7
Greenbush-Middle River Senior High,56726,,9,Public,96.7,3.3,28.7,46.4,67.6,47.1,94.7,139,12,72,28,0,28
Greenway Senior High,55722,,9,Public,86,14,38.3,20.5,67.1,55.6,95.9,291,17,56.9,37.4,0,37.4
Harding Senior High,55106,,9,Public,7.1,92.9,77.3,24,27.4,21.1,78.7,"1,983",110,36.6,61.6,0,61.6
Hastings High School,55033,,9,Public,89.9,10.1,14.2,61.1,68.1,74.4,94.9,"1,486",77,28.5,71.5,0,71.5
Henry Sibley High School,55118,,9,Public,49.6,50.4,37.8,56.9,61,74.5,85.6,"1,330",70,10.8,87.1,2.1,89.2
Hermantown Senior High,55811,,9,Public,93.5,6.5,10.1,52.8,63.9,63.8,98,652,33,26,73.4,0,73.4
Highland Park Senior High,55116,,9,Public,37.8,62.2,45.6,42.2,49.8,41.8,91.3,"1,267",59,31.6,65.1,1.6,66.7
Hill City Senior High,55748,,9,Public,85.2,14.8,54.3,50,52.6,45,84.2,76,6,57.5,28.9,0,28.9
Howard Lake-Waverly-Winsted Secondary,55349,,9,Public,93.3,6.7,21,55.4,53.4,60.3,96.6,293,17,41.6,58.4,0,58.4
Hutchinson Senior High,55350,,9,Public,90.9,9.1,19.4,53.9,61.7,58.7,95.1,888,51,39.2,60.8,0,60.8
Integrated Arts Academy,55318,,9,Public,72.7,27.3,28.8,25.7,,41.2,31.6,54,6,50,50,0,50
Irondale Senior High,55112,,9,Public,57.8,42.2,41.4,54.8,60.4,60.2,93.7,"1,682",87,30.8,68.8,0.5,69.3
Ivan Sand Community High School,55330,,9,Alternative ,71,29,33.3,0,15.4,9.1,24.2,95,8,51.2,48.8,0,48.8
Ivan Sand Transition Program,55330,,9,Alternative ,,,,,,,,,,,,,0
Jackson County Central Senior High,56143,,9,Public,91,9,32.7,54.4,47.6,52.4,96.1,355,22,34.9,65.1,0,65.1
Jefferson Senior High,55437,,9,Public,69.4,30.6,20,73.9,70.2,67,90.5,"1,634",76,8,92,0,92
Johnson Senior High,55106,,9,Public,10.6,89.4,76.2,29.9,37.2,22.9,79.6,"1,334",79,31.8,66.6,1.6,68.2
Jordan Secondary,55352,,9,Public,85.6,14.4,16.9,46.2,77.1,71.4,92.4,572,31,38,62,0,62
Kasson-Mantorville Senior High,55944,,9,Public,91.5,8.5,14.4,49.6,63.1,53.6,95.8,618,36,67.7,32.3,0,32.3
Kennedy High School,56537,,9,Public,89.9,10.1,22,51.9,75.5,71.9,94.3,657,66,52.1,46,0,46
Kennedy Senior High,55420,,9,Public,36.2,63.8,51.8,45.1,46.9,50.3,83.8,"1,539",83,22.4,75.8,0,75.8
Kenyon-Wanamingo Senior High,55946,,9,Public,87.7,12.3,33,39,53.3,56.3,100,262,12,51.8,48.2,0,48.2
La Crescent Senior High,55947,,9,Public,92.8,7.2,14.2,46.9,63.6,61.1,100,398,25,31.8,68.1,0,68.1
Lakeville North High,55044,,9,Public,84.9,15.1,7.9,58,67.2,59.4,94.9,"1,780",74,34.4,65.6,0,65.6
Lakeville South High,55044,,9,Public,82.7,17.3,14,59.9,71.6,61.6,96,"1,816",84,17.5,82.5,0,82.5
Le Sueur-Henderson High School,56058,,9,Public,77.6,22.4,30.9,37.8,50,75.9,92.5,309,18,69.7,28.9,0,28.9
Leap High School,55104,,9,Public,1.4,98.6,86.3,0,0,0,12.3,235,18,11.8,83.3,4.9,88.2
Litchfield Senior High,55355,,9,Public,90.2,9.8,28.4,52.3,56.7,50.4,85.5,474,27,35.3,64.7,0,64.7
Little Falls Continuing Education,56345,,9,Alternative ,92.9,7.1,60.7,6.7,,,59.4,58,4,74.2,25.9,0,25.9
Little Falls Senior High,56345,,9,Public,91.8,8.2,35.9,49.5,63.5,57.9,96.3,776,45,19,81,0,81
Loring-Nicollet High,55403,,9,Alternative ,38.3,61.7,45,,,30.4,36.8,54,3,3,0,0,0
Luverne Senior High,56156,,9,Public,90.6,9.4,24.6,64.4,59.3,72,97.8,377,23,37.1,62.1,0,62.1
Mahtomedi Senior High,55115,,9,Public,87.4,12.6,5.4,79.3,85.9,75.2,96.9,"1,166",57,27.3,72.7,0,72.7
Mankato East Senior High,56001,,9,Public,70.8,29.2,37.7,41.4,55.4,50.4,88.9,"1,044",58,49.1,49.2,0,49.2
Mankato West Senior High,56001,,9,Public,82.4,17.6,27.3,60.2,67.8,72.1,91.9,"1,153",62,36.3,60.5,0,60.5
Maple Grove Senior High,55369,,9,Public,75.6,24.4,14.4,57.8,71.5,71.2,93.2,"2,271",97,28.4,71.6,0,71.6
Maple River Senior High,56065,,9,Public,93.9,6.1,32.5,39.4,57.3,71.4,93,317,20,67.4,32.4,0,32.4
Marshall High School,56258,,9,Public,66.9,33.1,34.8,51.6,52.2,55.4,84.3,837,49,48.3,51.7,0,51.7
Martin County West Senior High,56171,,9,Public,90.6,9.4,32.8,57.7,70.1,58.2,91.9,258,18,87.8,12.2,0,12.2
Matec,56258,,9,Public,47.8,52.2,72,0,9.1,11.8,57.1,46,6,83,17,0,17
Melrose Secondary,56352,,9,Public,77.7,22.3,33.1,63.8,71.1,39.7,95.4,524,27,23.9,76.1,0,76.1
Memorial High School,55731,,9,Public,86.7,13.3,28.9,62.2,87,78.7,97.3,166,11,79.1,20.9,0,20.9
Menahga High School,56464,,9,Public,96.8,3.2,39.9,56.6,56.3,42.8,98,389,26,50.3,38.9,0,38.9
Metro Heights Academy,55432,,9,Alternative ,30.8,69.2,64.2,0,0,,8.6,94,7,81.9,18.1,0,18.1
Minnetonka Senior High,55345,,9,Public,85.3,14.7,6.9,69.7,78.1,70.3,95,"3,089",148,19.5,77.7,2,79.7
Monticello Senior High,55362,,9,Public,86,14,22.2,42.3,60.1,57.9,95,"1,169",62,43.1,57,0,57
Moorhead High School,56560,,9,Public,75.2,24.8,36,50.6,58.8,48.7,80.3,"1,703",91,35.7,64.3,0,64.3
Mounds View Senior High,55112,,9,Public,72.6,27.4,12.3,74.8,81.4,77,97.9,"1,781",83,32.8,67.2,0,67.2
New London-Spicer Senior,56273,,9,Public,92,8,22,49,66.3,57,92.6,398,22,54.7,45.3,0,45.3
New Prague Senior High,56071,,9,Public,94.9,5.1,11.1,64.1,65.5,67.4,95.7,"1,276",51,33.5,66.6,0,66.6
New Ulm High School,56073,,9,Public,92.6,7.4,20.6,56.6,58.9,68.2,96.2,911,52,70.7,29.1,0,29.1
Nicollet Senior High School,56074,,9,Public,97.4,2.6,14.9,50,39.1,56.5,95.5,104,5,62.6,37.5,0,37.5
North Academy Senior High,55411,,9,Public,2.3,97.7,80.5,7.4,4.8,11.4,80.3,289,33,64.4,32.7,3,35.7
North Branch Senior High,55056,,9,Public,92.9,7.1,21.5,34.8,66.8,62,86.1,825,52,60.8,39.2,0,39.2
North Senior High,55109,,9,Public,41.7,58.3,55.5,39.4,45.2,53.3,80.2,"1,853",93,17.3,82.7,0,82.7
Northfield Senior High,55057,,9,Public,82.3,17.7,21.3,59.6,65.2,64.7,94.8,"1,292",59,34.9,63.7,1.4,65.1
Orono Senior High,55356,,9,Public,90.1,9.9,11.8,74.4,81.8,74,98.7,957,53,8.3,90,0,90
