School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
Higher Ground Secondary Academy,55104,,9,Charter,0.6,99.4,92.9,53.7,39.5,,95,131,11,70.2,29.8,0,29.8
Hmong College Prep Academy High School,55108,,9,Charter,66.5,33.5,37.2,37,47.9,40.8,75,428,51,54.1,42,3.9,45.9
Lincoln International School,55404,,9,Charter,0,100,100,2.7,6.1,0,45.6,144,11,75.4,24.6,0,24.6
Main Street School Performing Arts,55343,,9,Charter,,100,,,,,,,,,,,0
Metro Schools Charter,55406,,9,Charter,0,100,90.6,0,21.4,0,37.5,185,5,32.4,33.8,0,33.8
North Lakes Academy 56,55025,,9,Charter,90.7,9.3,15.8,22.9,56.3,57.4,84.2,212,14,63.4,29.8,0,29.8
Northwest Passage High School,55443,,9,Charter,79.7,20.3,45.1,3.6,40,,50,188,12,56.9,43.1,0,43.1
Paladin Career And Technical High School,55434,,9,Charter,40.6,59.4,83.2,3.8,9.5,,15.5,263,22,78.7,17.7,0,17.7
Prairie Seeds High School Academy,55428,,9,Charter,0.4,99.6,76,6.5,31.4,17.3,86.8,243,11,72.7,27.3,0,27.3
Rivers Edge Academy,55107,,9,Charter,39.7,60.3,57.4,14.3,40.9,20.8,50,73,7,71.4,28.6,0,28.6
Rochester Stem Academy,55902,,9,Charter,0,100,96.5,6.3,19,11.4,73.9,92,7,100,0,0,0
Rosa Parks Charter High School,55901,,9,Charter,76.4,23.6,48.6,7.1,12.9,,22.7,100,7,81.9,18.1,0,18.1
Sage Academy Charter School,55443,,9,Charter,44.4,55.6,65.3,10.5,22.2,10,68,84,7,,30.9,0,30.9
St Paul Conservatory Performing Art,55102,,9,Charter,66.7,33.3,16.7,48.6,77.6,60.4,87.4,615,38,45.6,50.6,0,50.6
St. Croix Preparatory Academy Upper,55082,,9,Charter,89.3,10.7,6.9,77.5,92.7,76.2,97.7,350,25,61.3,30.2,4.6,34.8
Treknorth High School,56601,,9,Charter,47.1,52.9,55.7,37,71.4,66.7,62.5,133,8,46.3,53.7,0,53.7
Ubah Medical Academy Charter School,55343,,9,Charter,1,99,98.3,24.3,48.5,47.8,83.7,362,21,63,37,0,37
Voyageurs Expeditionary School,56601,,9,Charter,33.9,66.1,81.4,12.5,35.3,22.2,46.2,64,5,49.8,50.2,0,50.2
Watershed High School,55423,,9,Charter,51.9,48.1,38.9,25,53.8,25.7,60.9,48,6,83.3,16.7,0,16.7
Fridley Senior High,55432,,9,Magnet,35.2,64.8,59.9,37.9,41.5,39.2,92.9,810,46,46.1,52.8,0,52.8
Lincoln Senior High,56701,,9,Magnet,87.2,12.8,31.3,49.7,56.4,44.6,96.7,632,42,53.6,46.5,0,46.5
Park Center Ib World School,55443,,9,Magnet,15.3,84.7,67.1,25.5,54,32.6,80,"1,988",114,30,70,0,70
Step Ahead High School,55303,,9,Virtual,84.8,15.2,24.1,14.3,,18.2,14.3,45,2,25,75,0,75
